Design Discipline,Discipline refers to where AI is applied for,"Data About (DATA SOURCE: sensor, design component(artifhact), natural language)",What the data inform,Data Modality,"A distinct format or structure of input data- text, images, audio, video, or time series, each requiring different approaches for labeling and analysis.",AI methods,Description,"AI Assistance Types (Lee and Kim, 2025)",,Desing Practice/Task,
Insudtrial Design/ Engineering design/ product design,"Including engineering design, product design,",Perception,"Data captured through sensory inputs¡ªby humans or machines¡ªfor recognizing environmental stimuli (e.g. visual, auditory sensors)",Text,"Review data, documents, spec sheets",Traditional ML (shallow models),,Design generation,AI creates multiple design variations quickly to expand creative options,Discovery,Diversion
Service Design /System Design/ Business design,"Including service design, Product service system, Cyber physical system,",Physiological,"Data reflecting internal biological or bodily functions (e.g. heart rate, EEG, temperature)",Image,"Visual data, image labeling involvse tagging objects, defining regions, or classifying entire images to help models interpret visual input (i.e., Design artifacts, 3D models) (Key tasks: object detection, image classification, segmentation)",Deep models ,,Prediction,AI anticipates outcomes and simulates how dseigns might perform before implementation,Define,Converison
UI/UX Design,Including Human Computer Interaction,Behavioral-based,"Data derived from observable actions or patterns of behavior (e.g. clicks, usage logs, interactions)",Auido,"Speech recognition,",Gen AI ,,"Decision making (Validation, evaluation)",AI evaluates design options against specific criteria to assist with objective design-making,Develop,Diverison
Multiple,Including more than two design disciplines,Product-based,"Data generated by or embedded in products, systems, or artifacts (e.g. IoT device logs, design component data)",Video,"Activity detection, frame labeling, scene classification",Reinforcement learning,,Coordination,AI improves team communication and project management across design workflows.,Delivery,Conversion
,,Generated,"Data created or synthesized by humans or machines (e.g. generated text, simulated data)",Time Series,"IoT signals, financial data, medical monitoring",Exploratory data analysis,,Multiple,,,
,,Demographic,"Data describing population attributes (e.g. age, gender, income, education)",Multimodal,"Combining text, image, audio, or other formats for richer model context",,,Sense making,Knowledge augmentation + Knwoeldge generation -> sense making,,
,,Environmental,"Data measuring external physical or contextual conditions (e.g. temperature, humidity, pollution)",,,,,,,,
